
elementId,creatTime,classificationName,classificationNo,elementName
73,2016-05-23,机构及人员-从业人员信息-培训信息,CK010202,2
74,2016-05-23,机构及人员-从业人员信息-考试信息,CK010203,2
75,2016-05-24,行政管理-行政许可-通用信息类,CK050101,2
76,2016-05-24,行政管理-行政许可-申请信息类-基本信息,CK05010201,2
77,2016-05-25,行政管理-行政执法-决定信息,CK050203,2
78,2016-05-25,应急管理-应急资源-应急物资,CK100103,2
79,2016-05-24,基础设施-车站-城市公共自行车服务站点,CK020205,2
80,2016-05-24,运输装备-城市轨道交通车辆-基本信息,CK030301,2
81,2016-05-24,运输装备-城市轮渡船舶-设备配备信息,CK030403,2
82,2016-05-24,基础设施-调度中心,CK020600,2
83,2016-05-25,服务管理-投诉管理,CK080300,2
84,2016-05-24,运输装备-城市轮渡船舶-基本信息,CK030401,2
85,2016-05-24,基础设施-车站-车站（码头）附属设备,CK020207,2
86,2016-05-24,行政管理-行政执法-调查取证信息-抽样取证及证据登记保存信息,CK05020204,2
87,2016-05-25,票制票价-票价信息-公共汽电车线路票价,CK070101,2
88,2016-05-24,运输装备-城市轨道交通车辆-购置及使用信息,CK030302,2
89,2016-05-24,行政管理-行政执法-调查取证信息-行政处罚勘验及结果信息,CK05020202,2
90,2016-05-25,服务管理-服务评价,CK080200,2
91,2016-05-24,行政管理-行政执法-调查取证信息-鉴定及结果信息,CK05020205,2
92,2016-05-24,行政管理-行政许可-审查信息类,CK050104,2
93,2016-05-24,运输装备-城市公共自行车,CK030500,2
94,2016-05-25,运行监测-车辆监控-公共汽电车,CK060201,2
95,2016-05-23,基础设施-车站-公共汽电车车站,CK020201,2
96,2016-05-24,行政管理-行政执法-调查取证信息-违法行为调查报告信息,CK05020206,2
97,2016-05-23,机构及人员-管理机构信息,DY010102,2
98,2016-05-25,运行监测-客流信息-城市轨道交通客流及相关信息,CK060102,2
99,2016-05-24,运输装备-公共汽电车-设备配备信息,CK030103,2
100,2016-05-24,行政管理-行政许可-受理信息类,CK050103,2
101,2016-05-25,票制票价-公共交通乘车电子支付卡-卡充值信息,CK070203,2
102,2016-05-24,运输装备-出租汽车-证件信息,CK030204,2
103,2016-05-23,机构及人员-从业人员信息-基本信息,CK010201,2
104,2016-05-25,应急管理-应急报警,CK100400,2
105,2016-05-25,安全事故-事故基本信息,CK090201,2
106,2016-05-25,行政管理-行政执法-结案信息,CK050205,2
107,2016-05-25,应急管理-应急资源-应急预案,CK100104,2
108,2016-05-23,机构及人员-经营业户信息-基本信息,CK010101,2
109,2016-05-25,运行监测-车辆监控-城市轮渡,CK060204,2
110,2016-05-24,运营线路-线路运营时间,CK040200,2
111,2016-05-24,行政管理-行政执法-调查取证信息-违法车辆暂扣信息,CK05020203,2
112,2016-05-25,票制票价-票价信息-城市公共自行车票价,CK070105,2
113,2016-05-24,运输装备-出租汽车-购置及使用信息,CK030202,2
114,2016-05-23,机构及人员-经营业户信息-经营许可信息,CK010102,2
115,2016-05-25,服务管理-服务热线,CK080100,2
116,2016-05-25,运行监测-车辆监控-出租汽车,CK060202,2
117,2016-05-25,运行监测-客流信息-公共汽电车客流信息,CK060101,2
118,2016-05-25,安全事故-事故处理信息,CK090203,2
119,2016-05-25,城市交通监测,CK110000,2
120,2016-05-25,运行监测-车辆监控-城市轨道交通,CK060203,2
121,2016-05-25,应急管理-应急处置,CK100600,2
122,2016-05-24,运输装备-公共汽电车-证件信息,CK030104,2
123,2016-05-25,票制票价-公共交通乘车电子支付卡-卡基本信息,CK070201,2
124,2016-05-24,运输装备-公共汽电车-购置及使用信息,CK030102,2
125,2016-05-25,应急管理-应急资源-应急管理机构,CK100101,2
126,2016-06-01,辅助信息-检验及审核依据-须知,CJ050107,8
127,2016-06-01,辅助信息-供方管理-理化性能试验室,CJ050209,8
128,2016-05-31,船舶结构设备信息-舾装设备-锚链,CJ040404,8
129,2016-06-01,辅助信息-供方管理-罗经校核机构,CJ050210,8
130,2016-05-31,船舶结构设备信息-舾装设备-绞缆机,CJ040405,8
131,2016-05-31,证书及文件信息-船舶保安计划审批文件-船舶保安计划批准书,CJ020401,8
132,2016-05-30,证书及文件信息-船舶检验文件-船舶检验报告,CJ020102,8
133,2016-05-31,证书及文件信息-国际安全与环境无害化拆船文件-拆船厂授权书,CJ021003,8
134,2016-05-31,证书及文件信息-船舶燃油公约证书,CJ020800,8
135,2016-05-31,检验及审核信息-船舶检验-船舶检验遗留项目,CJ030103,8
136,2016-05-31,船舶结构设备信息-消防设备-灭火器,CJ040506,8
137,2016-05-31,证书及文件信息-国际安全与环境无害化拆船文件-证书及文件信息-国际安全与环境无害化拆船文件-拆船证明（DASR）附件,CJ021004,8
138,2016-06-01,船舶结构设备信息-特种装载-甲板特种装载,CJ041405,8
139,2016-05-31,证书及文件信息-船舶保安计划审批文件-船舶保安证书,CJ020402,8
140,2016-05-31,船舶结构设备信息-救生设备-救生浮具,CJ040602,8
141,2016-05-31,船舶结构设备信息-舾装设备-缆绳,CJ040406,8
142,2016-05-31,船舶结构设备信息-消防设备-探火和报警装置,CJ040504,8
143,2016-06-01,船舶结构设备信息-轮机设备-推进器,CJ040904,8
144,2016-06-01,船舶结构设备信息-特种装载-散装运输化学品,CJ041403,8
145,2016-05-31,证书及文件信息-图纸资料审批文件,CJ020700,8
146,2016-06-01,辅助信息-供方管理-GMDSS岸基维修机构,CJ050205,8
147,2016-05-30,船舶检验基础数据元-船舶基本参数信息-特性参数,CJ010200,8
148,2016-06-01,船舶结构设备信息-电气设备-发电设备,CJ041003,8
149,2016-06-01,船舶结构设备信息-轮机设备-空气瓶,CJ040906,8
150,2016-05-31,船舶结构设备信息-轮机设备-主机,CJ040901,8
151,2016-06-01,船舶结构设备信息-起重设备-活动零部件,CJ041206,8
152,2016-06-01,船舶结构设备信息-起重设备-起重设备基本信息,CJ041201,8
153,2016-05-31,船舶结构设备信息-消防设备-其他固定式灭火系统,CJ040502,8
154,2016-06-01,船舶结构设备信息-防污染-防止油污染,CJ041301,8
155,2016-05-31,船舶结构设备信息-舾装设备-锚,CJ040402,8
156,2016-05-31,船舶结构设备信息-救生设备-救生艇,CJ040601,8
157,2016-05-31,船舶结构设备信息-救生设备-抛绳设备,CJ040607,8
158,2016-05-30,船舶检验基础数据元-船舶基本参数信息-登记参数,CJ010300,8
159,2016-05-31,船舶结构设备信息-救生设备-救生筏,CJ040606,8
160,2016-05-30,船舶检验基础数据元-工程船补充参数-挖泥船,CJ010503,8
161,2016-05-30,证书及文件信息-船舶审核文件,CJ020200,8
162,2016-05-31,船舶结构设备信息-救生设备-气胀式救生环,CJ040603,8
163,2016-06-01,船舶结构设备信息-起重设备-跳板,CJ041205,8
164,2016-05-31,证书及文件信息-国际安全与环境无害化拆船文件-国际适合拆船证书,CJ021002,8
165,2016-06-01,船舶结构设备信息-起重设备-升降机,CJ041204,8
166,2016-06-01,船舶结构设备信息-起重设备-吊杆,CJ041202,8
167,2016-05-30,船舶检验基础数据元-工程船补充参数-起重船,CJ010504,8
168,2016-05-30,船舶检验基础数据元-船舶基本参数信息-主尺度参数,CJ010100,8
169,2016-06-01,船舶结构设备信息-无线电通信设备-救生艇筏手提无线电设备,CJ041106,8
170,2016-05-30,船舶检验基础数据元-工程船补充参数-消防船,CJ010505,8
171,2016-06-01,辅助信息-船舶缺陷与损坏管理,CJ050700,8
172,2016-05-31,证书及文件信息-海工检验文件,CJ020600,8
173,2016-05-31,船舶结构设备信息-轮机设备-齿轮箱,CJ040902,8
174,2016-06-01,辅助信息-检验及审核依据-技术标准,CJ050104,8
175,2016-05-30,船舶检验基础数据元-船舶基本参数信息-船级参数,CJ010400,8
176,2016-05-31,船舶结构设备信息-救生设备-救生衣,CJ040605,8
177,2016-05-31,船舶结构设备信息-船舶稳性,CJ040200,8
178,2016-05-31,证书及文件信息-压载水管理证书,CJ021100,8
179,2016-06-01,辅助信息-检验及审核依据-法规,CJ050102,8
180,2016-05-31,船舶结构设备信息-消防设备-水灭火系统,CJ040501,8
181,2016-05-31,船舶结构设备信息-轮机设备-轴系,CJ040903,8
182,2016-05-31,船舶结构设备信息-舾装设备-锚机,CJ040403,8
183,2016-05-31,检验及审核信息-海工检验,CJ030300,8
184,2016-05-30,船舶检验基础数据元-工程船补充参数-浮油回收船,CJ010502,8
185,2016-05-31,检验及审核信息-港口国控制（PSC）滞留信息,CJ030600,8
186,2016-05-31,船舶结构设备信息-舾装设备-舾装数,CJ040401,8
187,2016-06-01,辅助信息-验船师管理,CJ050400,8
188,2016-05-31,船舶结构设备信息-舾装设备-应急拖带装置,CJ040409,8
189,2016-06-01,辅助信息-检验及审核依据-公约,CJ050101,8
190,2016-06-01,船舶结构设备信息-电气设备-机舱自动化代码,CJ041001,8
191,2016-06-01,船舶结构设备信息-无线电通信设备-卫星通信船舶地球站,CJ041103,8
192,2016-05-31,检验及审核信息-船旗国监督检查（FSC）信息,CJ030700,8
193,2016-06-01,辅助信息-供方管理-无线电专业检测机构,CJ050204,8
194,2016-06-01,辅助信息-供方管理-VDR年度检测机构,CJ050206,8
195,2016-06-01,船舶结构设备信息-防污染-防止生活污水污染,CJ041302,8
196,2016-06-01,船舶结构设备信息-防污染-防止垃圾污染,CJ041303,8
197,2016-05-31,证书及文件信息-产品检验文件,CJ020500,8
198,2016-05-31,船舶结构设备信息-消防设备-其他固定式灭火系统灭火剂容器,CJ040503,8
199,2016-06-01,辅助信息-供方管理-救生筏站检测机构,CJ050207,8
200,2016-06-01,辅助信息-检验及审核依据-检验指南,CJ050105,8
201,2016-05-31,船舶结构设备信息-消防设备-备用灭火剂,CJ040507,8
202,2016-05-31,船舶结构设备信息-舾装设备-舵,CJ040407,8
203,2016-06-01,船舶结构设备信息-无线电通信设备-无线电话遇险频率值班收信机,CJ041107,8
204,2016-06-01,船舶结构设备信息-防污染-防污底系统,CJ041305,8
205,2016-05-31,船舶结构设备信息-消防设备-防火控制示意图展示位置,CJ040505,8
206,2016-06-01,辅助信息-检验及审核依据-第三方检验技术要求,CJ050108,8
207,2016-05-31,检验及审核信息-船舶及公司审核-船舶及公司审核不合格项目,CJ030403,8
208,2016-06-01,辅助信息-船舶应急响应服务（ERS）管理,CJ050600,8
209,2016-06-01,辅助信息-检验及审核依据-通函,CJ050106,8
210,2016-06-01,辅助信息-供方管理-滑油监测机构,CJ050203,8
211,2016-05-31,船舶结构设备信息-舾装设备-操舵装置,CJ040408,8
212,2016-06-01,辅助信息-检验及审核依据-规范,CJ050103,8
213,2016-05-31,船舶结构设备信息-航行设备,CJ040800,8
214,2016-06-01,船舶结构设备信息-电气设备-配电系统代码,CJ041002,8
215,2016-06-01,船舶结构设备信息-特种装载-散装运输液化气体,CJ041402,8
216,2016-05-30,证书及文件信息-船舶检验文件-船舶检验证书,CJ020101,8
217,2016-06-01,船舶结构设备信息-轮机设备-锅炉,CJ040905,8
218,2016-05-31,证书及文件信息-国际安全与环境无害化拆船文件-国际有害物质清单证书,CJ021001,8
219,2016-06-01,辅助信息-供方管理-船体测厚机构,CJ050201,8
220,2016-06-01,辅助信息-供方管理-无损探伤检测机构,CJ050208,8
221,2016-05-31,检验及审核信息-船舶及公司审核-船舶审核过程控制,CJ030401,8
222,2016-05-31,船舶结构设备信息-救生设备-救生圈,CJ040604,8
223,2016-06-01,船舶结构设备信息-无线电通信设备-救生艇筏双向甚高频无线电话,CJ041102,8
224,2016-05-31,检验及审核信息-船舶检验-船舶检验过程控制,CJ030101,8
225,2016-05-31,船舶结构设备信息-信号设备,CJ040700,8
226,2016-05-31,检验及审核信息-船舶及公司审核-公司审核过程控制,CJ030402,8
227,2016-05-31,船舶结构设备信息-船舶干舷,CJ040300,8
228,2016-05-31,检验及审核信息-船舶保安计划审批,CJ030500,8
229,2016-05-31,检验及审核信息-船舶检验-船舶检验状态,CJ030102,8
230,2016-06-01,船舶结构设备信息-无线电通信设备-河船无线电通信设备,CJ041104,8
231,2016-06-01,船舶结构设备信息-轮机设备-空压机,CJ040907,8
232,2016-06-01,船舶结构设备信息-特种装载-散装运输有毒物质,CJ041401,8
233,2016-05-31,船舶结构设备信息-消防设备-其他消防器具,CJ040508,8
234,2016-05-31,检验及审核信息-产品检验,CJ030200,8
235,2016-05-31,船舶结构设备信息-船体总布置情况,CJ040100,8
236,2016-06-01,辅助信息-归档管理,CJ050500,8
237,2016-06-01,辅助信息-焊工管理,CJ050300,8
238,2016-06-01,辅助信息-供方管理-灭火系统和设备检测机构,CJ050202,8
239,2016-06-01,船舶结构设备信息-无线电通信设备-中.高频无线电装置.甚高频无线电话,CJ041101,8
240,2016-06-01,船舶结构设备信息-防污染-防止大气污染,CJ041304,8
241,2016-06-01,船舶结构设备信息-起重设备-起重机,CJ041203,8
242,2016-05-30,船舶检验基础数据元-工程船补充参数-浮船坞,CJ010501,8
243,2016-06-01,船舶结构设备信息-特种装载-危险品适装,CJ041404,8
244,2016-05-31,证书及文件信息-能效管理,CJ021200,8
245,2016-05-31,证书及文件信息-公司审核文件,CJ020300,8
246,2016-06-01,船舶结构设备信息-无线电通信设备-收.发信机,CJ041105,8
247,2016-05-31,证书及文件信息-海事劳工证书,CJ020900,8
248,2016-05-30,证书及文件信息-船舶检验文件-船舶必备检验文件资料,CJ020103,8
249,2014-04-09,船员证书信息-空白证书信息,CY040200,6
250,2014-04-09,船员考试评估信息-适任证书评估信息,CY030500,6
251,2014-04-09,船员考试评估信息- 船员考试信息,CY030400,6
252,2014-04-09,船员考试评估信息-适任证考场信息,CY030300,6
253,2014-04-09,船员考试评估信息-适任证申考信息,CY030200,6
254,2014-04-09,船员考试评估信息-读卡机信息,CY030100,6
255,2014-04-09,船员培训机构信息-船员培训机构监督检查信息,CY020400,6
256,2014-04-09,船员培训机构信息-培训机构师资信息,CY020200,6
257,2014-04-09,船员培训机构信息-船员培训机构基本信息,CY020100,6
258,2014-04-09,基本信息-船员体检信息,CY010800,6
259,2014-04-09,基本信息-劳动合同信息,CY010700,6
260,2014-04-09,基本信息-船员业务审查信息,CY010600,6
261,2014-04-09,基本信息-单位及档案转换,CY010500,6
262,2014-04-09,基本信息-保安员基本信息,CY010200,6
263,2014-04-09,基本信息-船员基本信息,CY010100,6
264,2016-06-03,船员服务机构信息-船员引航员服务机构信息,CY060200,6
265,2016-06-03,船员服务机构信息-服务协议信息,CY060500,6
266,2016-06-02,船员证书信息-船员适任证书信息,CY040300,6
267,2016-05-30,基本信息-在中国籍船舶上任职的外国船员基础信息,CY010400,6
268,2016-06-03,船员服务动态信息-船员重点跟踪信息,CY050400,6
269,2016-06-03,船员证书信息-船员专业特殊培训合格证信息,CY040700,6
270,2016-06-03,船员服务机构信息-船员服务机构配员信息,CY060400,6
271,2016-06-03,船员服务动态信息-海员处境信息,CY050500,6
272,2016-06-03,船员服务机构信息-船员服务机构监督检查信息,CY060300,6
273,2016-06-03,船员证书信息-船员引航员注册信息,CY040900,6
274,2016-06-01,船员证书信息-证书基本信息,CY040100,6
275,2016-06-03,船员证书信息-船员引航员服务簿信息,CY041000,6
276,2016-06-03,船员服务机构信息-船公司服务机构信息,CY060100,6
277,2016-06-03,船员证书信息-船员特免证明信息,CY040800,6
278,2016-05-31,船员培训机构信息-船员培训质量体系证书信息,CY020300,6
279,2016-05-30,基本信息-航海专业学生基本信息,CY010300,6
280,2016-06-03,船员服务动态信息-奖励记录信息,CY050300,6
281,2016-06-02,船员证书信息-船员专业技术资格证书信息,CY040500,6
282,2016-06-03,船员证书信息-海员证信息,CY040600,6
283,2016-06-03,船员服务动态信息-引航员引航资历信息,CY050200,6
284,2016-05-31,船员考试评估信息-船员培训班信息,CY030600,6
285,2016-06-02,船员证书信息-引航员适任证书信息,CY040400,6
286,2016-06-03,船员服务动态信息-船员服务资历信息,CY050100,6
287,2014-09-18,审核信息-油船货物区域要求信息,CZ040200,9
288,2014-09-18,审核信息-审批信息,CZ040100,9
289,2014-09-18,检查信息-违章信息,CZ030300,9
290,2014-09-18,检查信息-集装箱装箱现场检查,CZ030200,9
291,2014-09-18,检查信息-一般现场检查,CZ030100,9
292,2014-09-18,作业申报信息-围油栏防护,CZ021500,9
293,2014-09-18,作业申报信息-护航申请,CZ021400,9
294,2014-09-18,作业申报信息-新品种评估,CZ021300,9
295,2014-09-18,作业申报信息-压载水/污水处置信息,CZ021200,9
296,2014-09-18,作业申报信息-附件信息-集装箱装箱照片,CZ021110,9
297,2014-09-18,作业申报信息-附件信息-集装箱装箱申明书,CZ021109,9
298,2014-09-18,作业申报信息-附件信息-罐柜船检证书,CZ021108,9
299,2014-09-18,作业申报信息-附件信息-添加剂证明,CZ021107,9
300,2014-09-18,作业申报信息-附件信息-商检证历史信息,CZ021106,9
301,2014-09-18,作业申报信息-附件信息-商检证信息,CZ021105,9
302,2014-09-18,作业申报信息-附件信息-船舶适载证书图片信息,CZ021104,9
303,2014-09-18,作业申报信息-附件信息-船舶适载证书附加信息,CZ021103,9
304,2014-09-18,作业申报信息-附件信息-船舶适载证书信息,CZ021102,9
305,2014-09-18,作业申报信息-附件信息-基本清单,CZ021101,9
306,2014-09-18,作业申报信息-成组件申报信息,CZ021000,9
307,2014-09-18,作业申报信息-包件/固体散货申报信息,CZ020900,9
308,2014-09-18,作业申报信息-液态货申报洗舱信息,CZ020800,9
309,2014-09-18,作业申报信息-液态货申报装载舱室信息,CZ020700,9
310,2014-09-18,作业申报信息-液态货申报信息,CZ020600,9
311,2014-09-18,作业申报信息-作业信息,CZ020500,9
312,2014-09-18,作业申报信息-载客信息,CZ020400,9
313,2014-09-18,作业申报信息-航次信息,CZ020300,9
314,2014-09-18,作业申报信息-提单信息,CZ020200,9
315,2014-09-18,作业申报信息-申报基本信息,CZ020100,9
316,2014-09-18,基础信息-人员信息-联系信息,CZ010502,9
317,2014-09-18,基础信息-人员信息-人员基本信息,CZ010501,9
318,2014-09-18,基础信息-单位信息,CZ010400,9
319,2014-09-18,基础信息-港口码头信息-码头泊位信息,CZ010302,9
320,2014-09-18,基础信息-港口码头信息-港口信息,CZ010301,9
321,2014-09-18,基础信息-船舶基本信息,CZ010200,9
322,2014-09-18,基础信息-货物信息-散装液货危险货物信息,CZ010104,9
323,2014-09-18,基础信息-货物信息-包件危险货物信息,CZ010102,9
324,2014-09-18,基础信息-货物信息-货物基本性质,CZ010101,9
325,2016-05-30,作业申报信息-防污染作业信息,CZ021600,9
326,2016-06-01,检查信息-开箱检查信息,CZ030400,9
327,2016-05-30,作业申报信息-防污染作业单位备案信息,CZ021700,9
328,2016-05-30,基础信息-货物信息-固体散货危险货物信息,CZ010103,9
329,2016-05-30,基础信息-应急信息,CZ010600,9
330,2014-03-27,参与方情况-参与方联系信息,GK050300,5
331,2014-03-27,参与方情况-交易参考信息,GK050200,5
332,2014-03-27,参与方情况-参与方信息,GK050100,5
333,2014-03-27,航线,GK040000,5
334,2014-03-27,港口营运情况-港口服务,GK030300,5
335,2014-03-27,港口营运情况-港口作业情况-港务船舶,GK030202,5
336,2014-03-27,港口营运情况-港口作业情况-装卸设备及能力,GK030201,5
337,2014-03-27,港口营运情况-港口生产信息-港口集装箱吞吐量,GK030103,5
338,2014-03-27,港口营运情况-港口生产信息-港口旅客吞吐量,GK030102,5
339,2014-03-27,港口营运情况-港口生产信息-港口货物吞吐量,GK030101,5
340,2014-03-27,港域情况-防波堤,GK020600,5
341,2014-03-27,港域情况-无线电通信和信号,GK020500,5
342,2014-03-27,港域情况-锚地,GK020400,5
343,2014-03-27,港域情况-地质及地震-地震,GK020302,5
344,2014-03-27,港域情况-地质及地震-地质,GK020301,5
345,2014-03-27,港域情况-水文条件-冰况,GK020204,5
346,2014-03-27,港域情况-水文条件-波浪,GK020203,5
347,2014-03-27,港域情况-水文条件-潮流,GK020202,5
348,2014-03-26,港域情况-水文条件-潮汐,GK020201,5
349,2014-03-26,港域情况-气象条件-雾况,GK020104,5
350,2014-03-26,港域情况-气象条件-降水,GK020103,5
351,2014-03-26,港域情况-气象条件-气温,GK020102,5
352,2014-03-26,港域情况-气象条件-风况,GK020101,5
353,2014-03-26,港口概况-进港航道,GK010700,5
354,2014-03-26,港口概况-疏港公路,GK010600,5
355,2014-03-26,港口概况-运输管道,GK010500,5
356,2014-03-26,港口概况-港口铁路,GK010400,5
357,2014-03-26,港口概况-码头泊位,GK010300,5
358,2014-03-26,港口概况-仓库堆场,GK010200,5
359,2014-03-25,港口概况-港口基础信息,GK010100,5
360,2016-05-18,港口设施保安-港口设施保安符合证书信息,GK060100,5
361,2016-05-18,港口营运情况-港口生产信息-重点物资集疏运运量,GK030104,5
362,2016-05-18,港口设施保安-港口设施保安符合证书核验信息,GK060200,5
363,2016-05-19,沿线设施-收费站,GL050400,11
364,2014-03-24,沿线环境-公路沿线地形,GL060200,11
365,2014-03-24,沿线环境-公路定位控制点,GL060100,11
366,2014-03-24,沿线设施-交通量观测,GL051100,11
367,2014-03-24,沿线设施-管线,GL050600,11
368,2014-03-24,沿线设施-养护,GL050800,11
369,2014-03-24,主要构筑物-公路渡口,GL040500,11
370,2014-03-24,主要构筑物-涵洞概况,GL040300,11
371,2014-03-24,主要构筑物-隧道概况,GL040200,11
372,2014-03-24,主要构筑物-桥梁概况,GL040100,11
373,2014-03-24,路面-路面结构,GL030100,11
374,2014-03-24,路基-路基边坡,GL020400,11
375,2014-03-24,路基-路基排水,GL020300,11
376,2014-03-24,路基-路基防护,GL020200,11
377,2014-03-24,路基-路基特征,GL020100,11
378,2014-03-24,路线-路线交叉,GL011300,11
379,2014-03-24,路线-断链,GL011100,11
380,2014-03-24,路线-路肩,GL011000,11
381,2014-03-24,路线-横断面,GL010900,11
382,2014-03-24,路线-纵坡,GL010800,11
383,2014-03-24,路线-纵曲线,GL010700,11
384,2014-03-24,路线-平曲线,GL010600,11
385,2014-03-24,路线-公路用地,GL010500,11
386,2014-03-24,路线-技术等级,GL010200,11
387,2014-03-24,路线-分离式路段,GL010300,11
388,2014-03-24,路线-路线概况,GL010100,11
389,2014-03-24,综合信息,GL070000,11
390,2016-05-24,养护信息-灾毁损失情况,GL080500,11
391,2016-05-24,养护信息-养护里程,GL080200,11
392,2016-05-19,沿线设施-气象设施,GL051000,11
393,2016-05-18,路线-行车道-应急车道,GL010406,11
394,2016-05-24,质量检测-总体,GL090100,11
395,2016-05-19,沿线设施-防护设施,GL050300,11
396,2016-05-24,路政巡查-路产案件,GL100800,11
397,2016-05-20,养护信息-养护基本信息,GL080100,11
398,2016-05-19,主要构筑物-房建设施概况,GL040400,11
399,2016-05-18,路线-管辖范围,GL011200,11
400,2016-05-24,养护信息-抢救情况,GL080600,11
401,2016-05-24,质量检测-沿线设施,GL090500,11
402,2016-05-24,路政巡查-路政执法车辆,GL100400,11
403,2016-05-24,质量检测-路面,GL090200,11
404,2016-05-24,质量检测-路基,GL090300,11
405,2016-05-24,交通状况信息-阻断信息,GL110200,11
406,2016-05-24,养护信息-绿化-可绿化里程,GL080301,11
407,2016-05-24,路政信息-治超管理,GL100100,11
408,2016-05-24,养护信息-养护机械,GL080700,11
409,2016-05-24,养护信息-养护工程,GL080400,11
410,2016-05-19,沿线设施-监控设施,GL050500,11
411,2016-05-24,养护信息-绿化-已绿化信息,GL080302,11
412,2016-05-19,沿线设施-服务区,GL050700,11
413,2016-05-24,路政信息-路政许可,GL100200,11
414,2016-05-24,质量检测-桥隧构造物,GL090400,11
415,2016-05-24,路政巡查-路产预审,GL100600,11
416,2016-05-19,沿线设施-治超-治超检测站,GL050901,11
417,2016-05-24,交通状况信息-交通量信息,GL110100,11
418,2016-05-19,沿线设施-标志,GL050100,11
